machine_id,start,end
5b0fb5369b3b7900013c8fc6,2021/01/14/17,2021/03/01/17
5e4d8a1ee788ce0001163dfb,2021/04/04/23,2021/05/20/23
5ea361f2c220330001f72287,2020/12/25/08,2021/02/09/08
5f17f97238d5f80001cab593,2021/01/15/20,2021/03/02/20
5fb0d859a47db9000177d2ca,2021/01/10/17,2021/02/25/17
5c3f857643d3e10001ce072c,2020/08/04/21,2020/09/19/21
5c895954e53502000158ca12,2021/01/31/14,2021/03/18/14
60119f12da81760001e59cb7,2021/06/23/01,2021/08/08/01
5f461b61008c8a000150cd00,2021/02/02/17,2021/03/20/17
5c8a889a5035b20001836631,2021/01/13/01,2021/02/28/01
5f763562b89f210001d7a652,2020/10/26/00,2020/12/11/00
604ee7e7160d530001f04329,2021/06/21/22,2021/08/06/22
5ba2a2ea4166b60001dc33c4,2021/07/01/06,2021/08/16/06
5f288fcb86c85b00016b258d,2021/03/04/15,2021/04/19/15
5dd553b6c102480001421325,2021/06/27/04,2021/08/12/04
5d66a4dcf6c19b0001393a08,2020/11/29/11,2021/01/14/11
5f5a6b72113dfa0001ff2f70,2020/11/14/04,2020/12/30/04
5fa2cb995fd5bf00018dd8f6,2021/06/10/14,2021/07/26/14
5f4facf2b2238400018370b1,2021/05/07/13,2021/06/22/13
5e14bd8368cc7e000130e272,2021/01/01/08,2021/02/16/08
5bfee00cba56640001af53b9,2021/06/11/03,2021/07/27/03
5d308144279791000124ce4b,2020/09/22/07,2020/11/07/07
603032dc2b32e20001958c32,2021/06/14/04,2021/07/30/04
5f68725532513a0001e7660f,2020/11/04/21,2020/12/20/21
5d74f2b4652ea700015de320,2020/07/29/06,2020/09/13/06
5bfeb877db7af80001a2e9a3,2021/07/01/20,2021/08/16/20
5eb1590079e3a30001bb40cd,2020/08/18/01,2020/10/03/01
5db0481bd43c4a0001a90ac3,2021/03/15/23,2021/04/30/23
5ef6572f4db9b00001828156,2021/03/30/03,2021/05/15/03
5fc7bb9c6899180001904118,2021/06/04/23,2021/07/20/23
5d74f37114cf6b0001286824,2021/03/04/08,2021/04/19/08
5f461ba2de69c7000158ab0b,2021/06/03/02,2021/07/19/02
5c47821b43d3e1000145c290,2021/01/02/17,2021/02/17/17
5f16a901ab44ba000132cbba,2021/04/22/05,2021/06/07/05
604a3300e3b1d70001558601,2021/06/07/06,2021/07/23/06
5d654291f6c19b000138bf7f,2021/02/04/17,2021/03/22/17
5ced5ba8ee3cdc000175354e,2021/06/10/00,2021/07/26/00
5f4b5712008c8a00010a98e1,2021/06/26/12,2021/08/11/12
5f461bc6de69c7000158ab23,2020/11/29/18,2021/01/14/18
5f5281f7f3b4d400014c1c56,2021/04/03/15,2021/05/19/15
5fc7ea89689918000190887c,2021/03/08/14,2021/04/23/14
5e5d1424c7847d0001bcc8ba,2021/05/14/07,2021/06/29/07
5f27253fa0d2fb00017516ad,2021/03/04/03,2021/04/19/03
5f6e369a2eb7700001477305,2021/01/29/06,2021/03/16/06
5de54cf38afe10000101bf4e,2021/03/25/22,2021/05/10/22
5ef64af9e1c0e90001ebf6e3,2021/01/07/10,2021/02/22/10
5c0198acdb7af80001a3782b,2021/03/05/08,2021/04/20/08
6001c62e6d614000013296fe,2021/04/29/09,2021/06/14/09
5cf9bf99ebe5fb0001dc3559,2021/05/28/11,2021/07/13/11
5a96cd69402ff00001002227,2021/02/05/18,2021/03/23/18
5f3295764600950001f793f5,2020/12/14/06,2021/01/29/06
5e56a865c7847d0001b949fb,2021/04/05/04,2021/05/21/04
5fa2d6385fd5bf00018de729,2021/03/06/04,2021/04/21/04
